CG_name	Gene	Chromosome	Site
CG43110	CG43110	2R	""
CG43111	CG43111	2R	""
CG43112	CG43112	2R	""
CG43114	CG43114	2R	""
CG43115	CG43115	X	""
CG43116	CG43116	3R	""
CG43117	CG43117	3R	""
CG43119	Sarm	3L	66B4-66B5
CG4312	MtnB	3R	92E12-92E13
CG43120	CG43120	3L	""
CG43121	CG43121	3L	""
CG43122	cic	3R	92E2-92E2
CG43123	CG43123	2R	""
CG43124	CG43124	3R	""
CG43125	CG43125	3R	""
CG43127	CG43127	3L	""
CG43128	Shab	3L	63A1-63A2
CG43129	SmydA-3	2L	32B1-32B1
CG4313	CG4313	X	2C8-2C8
CG43131	CG43131	3R	""
CG43133	CG43133	X	""
CG43134	CG43134	X	""
CG43135	CG43135	X	""
CG43136	CG43136	X	""
CG43137	CG43137	X	""
CG43138	CG43138	X	""
CG43139	CG43139	3R	""
CG4314	st	3L	73A3-73A3
CG43140	pyd	3R	85B2-85B7
CG43143	Nuak	3R	86A3-86A6
CG43145	CG43145	2L	""
CG43147	CG43147	3L	""
CG43149	CG43149	3L	""
CG43153	CG43153	2L	""
CG43154	rudhira	X	10E6-10F1
CG43155	CG43155	X	10B14-10B14
CG43156	CG43156	X	""
CG4316	Sb	3R	89B4-89B6
CG43161	Skeletor	3R	86C4-86C4
CG43162	jvl	3R	88D3-88D3
CG43163	CG43163	3L	66D1-66D1
CG43164	nw	2R	54B18-54C1
CG43165	CG43165	2L	""
CG43167	CG43167	2L	""
CG43168	CG43168	3L	""
CG43169	CG43169	3L	""
CG4317	Mipp2	X	5D4-5D4
CG43171	CG43171	2R	""
CG43172	CG43172	2R	""
CG43175	CG43175	3R	""
CG43178	CG43178	2R	""
CG43179	CG43179	3R	""
CG4318	CG4318	X	11E1-11E1
CG43181	CG43181	X	""
CG43182	CG43182	X	""
CG43183	CG43183	2R	""
CG43184	CG43184	3L	""
CG43185	CG43185	2L	""
CG43187	CG43187	2R	""
CG43188	CG43188	2R	""
CG4319	rpr	3L	75C6-75C6
CG43190	CG43190	2R	""
CG43191	CG43191	2R	""
CG43192	CG43192	2R	""
CG43194	hemo	3R	""
CG43195	CG43195	2R	""
CG43198	CG43198	X	""
CG4320	raptor	X	5D4-5D4
CG43200	CG43200	2R	""
CG43201	CG43201	2R	""
CG43202	BomT1	2R	""
CG43203	CG43203	3R	""
CG43204	CG43204	2R	""
CG43206	UQCR-6.4L	3L	""
CG43207	CG43207	2R	""
CG43208	CG43208	3R	""
CG43209	CG43209	2R	""
CG4321	Cyp4d8	3L	66A2-66A2
CG43210	CG43210	3R	""
CG43218	CG43218	3L	""
CG43219	CG43219	3L	""
CG4322	moody	X	2C7-2C8
CG43220	CG43220	2L	""
CG43221	CG43221	2L	""
CG43222	MtnF	3R	""
CG43224	Gfrl	3R	92E5-92E6
CG43225	axo	3L	64B12-64B13
CG43226	lute	3R	90A4-90A4
CG43227	milt	2L	27D5-27D7
CG43228	Diedel2	3R	""
CG43229	CG43229	X	""
CG4323	Dic2	3R	92E12-92E12
CG43230	CG43230	2L	""
CG43231	CG43231	2L	""
CG43232	CG43232	2L	""
CG43233	CG43233	2L	""
CG43235	CG43235	2L	""
CG43236	Mtkl	2R	""
CG43237	CG43237	2R	""
CG4324	CG4324	2R	60B2-60B3
CG43244	CG43244	2R	""
CG43245	CG43245	3L	""
CG43246	CG43246	3L	""
CG43248	CG43248	3L	""
CG43249	CG43249	3L	""
CG4325	CG4325	X	2C7-2C7
CG43251	CG43251	3L	""
CG43254	CG43254	3R	""
CG43255	CG43255	X	""
CG4326	mRpS17	2R	60C1-60C1
CG43267	CG43267	2R	""
CG43271	CG43271	2L	""
CG43272	CG43272	2R	""
CG43273	CG43273	3R	""
CG43277	CG43277	2R	""
CG4328	CG4328	3L	69A5-69A5
CG43286	cnc	3R	94E4-94E7
CG43288	CG43288	X	""
CG4329	tous	2R	58F2-58F2
CG43290	CG43290	3R	""
CG43291	CG43291	3R	""
CG43292	CG43292	3L	""
CG43293	CG43293	3L	""
CG43294	CG43294	3L	""
CG43295	CG43295	3L	""
CG43296	CG43296	2R	""
CG4330	MFS10	X	11E1-11E1
CG43307	CG43307	2L	""
CG43308	CG43308	2R	""
CG43312	CG43312	3L	""
CG43313	Chpf	X	11D11-11E1
CG43315	CG43315	2R	""
CG43316	CG43316	2R	""
CG43317	CG43317	3R	""
CG43318	CG43318	3R	""
CG43319	CG43319	3R	""
CG4332	CG4332	X	11E1-11E1
CG43320	HSPBAP1	3R	""
CG43321	CG43321	2L	""
CG43322	CG43322	2L	""
CG43323	Klp54D	2R	54C5-54C8
CG43324	CG43324	2R	""
CG43325	CG43325	2R	""
CG43326	CG43326	2R	""
CG43327	CG43327	2R	""
CG43328	CG43328	2R	""
CG43329	CG43329	3L	""
CG43330	CG43330	3L	""
CG43331	CG43331	3L	""
CG43332	CG43332	2L	""
CG43333	CG43333	2L	""
CG43335	CG43335	3R	""
CG43336	CG43336	3R	""
CG43337	CG43337	3L	""
CG43338	CG43338	2L	36F10-36F10
CG43339	CG43339	2L	""
CG4334	Zip88E	3R	88E9-88E9
CG43340	M7BP	2R	43E6-43E6
CG43341	CG43341	2R	""
CG43342	CG43342	3R	""
CG43343	Gpdh3	3R	""
CG43345	CG43345	2L	""
CG43346	CG43346	2L	""
CG43347	CG43347	X	9D4-9D4
CG43348	CG43348	2L	""
CG43349	CG43349	2L	""
CG4335	CG4335	3R	92E7-92E7
CG43350	CG43350	2L	""
CG43351	CG43351	2R	""
CG43352	HP1Lcsd	2R	""
CG43354	CG43354	2L	""
CG43355	CG43355	2L	""
CG4336	rux	X	5D2-5D2
CG43362	CG43362	2L	""
CG43365	BtbVII	3L	63B7-63B7
CG43366	CG43366	2R	42A3-42A3
CG43367	CG43367	3L	64A10-64A10
CG43368	cac	X	10F8-11A1
CG43369	Mitf	4	102D6-102D6
CG4337	mtSSB	3R	89B7-89B7
CG43370	Cc2d2a	2R	54C3-54C3
CG43371	CG43371	2R	""
CG43373	CG43373	3L	73A4-73A4
CG43374	Cht6	X	9A5-9A5
CG43376	CG43376	2L	""
CG4338	CG4338	3R	88E11-88E11
CG43386	CG43386	X	9A3-9A3
CG43388	Hk	X	9B5-9B5
CG43389	CG43389	3L	""
CG43390	CG43390	3L	""
CG43391	CG43391	3L	""
CG43392	CG43392	3L	""
CG43393	CG43393	2R	""
CG43394	CG43394	2L	28E8-28E9
CG43395	Cngl	X	13C1-13C1
CG43396	CG43396	2R	""
CG43397	CG43397	2R	""
CG43398	scrib	3R	97C1-97C2
CG43400	CG43400	2L	""
CG43401	CG43401	2L	""
CG43402	CG43402	2L	""
CG43403	CG43403	2L	""
CG43405	CG43405	2R	""
CG43407	CG43407	3L	""
CG4341	CG4341	2L	21E2-21E2
CG43427	smash	3R	82D2-82D2
CG43428	CG43428	2R	""
CG43438	CG43438	2L	""
CG43439	CG43439	3L	""
CG43442	Nha2	3R	94D6-94D7
CG43443	hts	2R	56D3-56D5
CG43444	Tet	3L	63A1-63A1
CG43445	CG43445	3R	""
CG43446	CG43446	3R	""
CG43447	CG43447	3R	""
CG43448	CG43448	3R	""
CG43449	CG43449	3R	""
CG4345	grim	3L	75C4-75C4
CG43450	CG43450	3R	""
CG4347	UGP	3L	67B1-67B2
CG43479	nwk	3L	67A1-67A1
CG4349	Fer3HCH	X	11D11-11D11
CG4353	hep	X	11D10-11D10
CG4354	slbo	2R	60C6-60C6
CG4356	mAChR-A	2R	60C7-60C7
CG4357	Ncc69	3L	69B3-69B3
CG4360	CG4360	3R	92E2-92E3
CG43610	CG43610	2L	""
CG43618	CG43618	3R	""
CG43619	Acp98AB	3R	98B1-98B1
CG4362	CG4362	3R	92E2-92E2
CG4363	CG4363	2R	58A2-58A2
CG43630	CG43630	3R	""
CG43638	CG43638	3L	""
CG4364	CG4364	2L	30C5-30C6
CG43645	CG43645	2L	""
CG43646	CG43646	2R	""
CG43647	CG43647	2R	""
CG4365	tzn	3L	77E6-77E6
CG43657	Myo10A	X	9F13-9F13
CG43658	CG43658	X	16A5-16B1
CG43659	CG43659	2R	""
CG43662	Polr2D	3R	90F10-90F11
CG43663	Ada2a	3R	""
CG43664	Su(var)3-9	3R	88E6-88E8
CG43665	eIF2gamma	3R	""
CG43666	CG43666	2R	""
CG43667	CG43667	2R	""
CG43668	CG43668	2R	""
CG4367	CG4367	3R	92E2-92E2
CG43672	CG43672	X	""
CG43673	CG43673	X	""
CG43675	CG43675	3R	""
CG43677	CG43677	2R	""
CG43678	CG43678	3L	""
CG43679	CG43679	3L	""
CG43680	CG43680	3L	""
CG43689	CG43689	X	4A4-4A5
CG43690	fok	2L	38B4-38B4
CG43691	CG43691	2R	50A3-50A3
CG43693	CG43693	3L	68A2-68A3
CG43694	CG43694	3R	""
CG4370	Irk2	3R	95A1-95A1
CG43702	CG43702	3L	""
CG43703	CG43703	2L	""
CG43707	CG43707	2L	24C3-24C3
CG43709	CG43709	2R	""
CG4371	GstD7	3R	87B8-87B8
CG43710	CG43710	2R	""
CG43711	CG43711	2R	""
CG4372	CG4372	2R	58A2-58A2
CG43720	sick	2L	38A8-38A8
CG43722	esn	2R	42F1-42F2
CG43725	CG43725	2L	""
CG43726	qin	3R	91B7-91B8
CG43729	Stacl	2R	52A2-52A2
CG4373	Cyp6d2	2R	58F4-58F4
CG43731	CG43731	2L	""
CG43732	CG43732	3R	""
CG43736	CG43736	X	6E2-6E2
CG43737	CG43737	X	13B1-13B1
CG43738	cpo	3R	90D1-90E1
CG43739	CG43739	2L	""
CG4374	CG4374	3R	94F1-94F1
CG43740	CG43740	X	9B7-9B7
CG43741	Ack-like	2R	49F3-49F3
CG43742	CG43742	2R	""
CG43743	GluRIB	3L	67A4-67A6
CG43744	bru3	3L	70B5-70C2
CG43745	MsR2	3L	62D5-62D5
CG43748	Hmx	3R	90B4-90B4
CG43749	dysc	3L	70C5-70C5
CG4375	CG4375	2L	21E3-21E3
CG43750	CG43750	2L	""
CG43755	CG43755	2L	21C1-21C1
CG43756	Slob	2L	28C1-28C1
CG43758	sli	2R	52C9-52D1
CG43759	CG43759	X	17F3-18A2
CG4376	Actn	X	2C4-2C7
CG43760	CG43760	2L	""
CG4377	CG4377	2R	58A2-58A2
CG43770	Sxl	X	6F3-6F5
CG43772	mwh	3L	61F4-61F4
CG43773	CG43773	2L	""
CG43774	CG43774	2L	""
CG43775	CG43775	2R	""
CG43776	CG43776	2R	""
CG43777	CG43777	2R	""
CG43778	hbt	2L	34B5-34B5
CG43779	CG43779	2L	""
CG43780	wrm1	3L	""
CG43781	wrm2	3L	""
CG43782	orb2	3L	66E4-66E5
CG43783	CG43783	3L	""
CG43784	CG43784	X	""
CG43788	CG43788	2R	""
CG43789	CG43789	2R	""
CG4379	Pka-C1	2L	30C5-30C5
CG43795	CG43795	2R	59E1-59E1
CG43796	CG43796	2L	""
CG43797	CG43797	2L	""
CG43798	CG43798	2L	""
CG43799	CG43799	2L	""
CG4380	usp	X	2C7-2C7
CG43800	CG43800	2L	""
CG4381	GstD3	3R	87B8-87B8
CG43813	CG43813	2L	""
CG43814	CG43814	2L	""
CG43815	CG43815	2L	""
CG43816	CG43816	2L	""
CG4382	CG4382	2L	30C1-30C1
CG43829	CG43829	2R	""
CG43841	CG43841	X	""
CG43843	CG43843	X	""
CG43844	CG43844	3R	""
CG43845	CG43845	3R	""
CG4385	S	2L	21E4-21E4
CG43850	CG43850	2L	""
CG43851	CG43851	2L	""
CG4386	tpr	2R	58A1-58A1
CG43860	ab	2L	32E2-32E2
CG43861	CG43861	2L	38A8-38A8
CG43867	CG43867	X	1C5-1C5
CG43880	CG43880	3L	""
CG43886	CG43886	3L	""
CG4389	Mtpalpha	2L	30B12-30B12
CG43894	CG43894	3L	69E8-69E8
CG43895	CG43895	3L	""
CG43896	CG43896	3L	68E4-68E4
CG43897	CG43897	3L	67C9-67C10
CG4390	CG4390	3R	92C4-92C4
CG43901	CG43901	X	9F10-9F10
CG43902	CG43902	X	9B2-9B2
CG43915	CG43915	3L	""
CG43919	CG43919	2R	""
CG43920	CG43920	2R	""
CG43921	hwt	X	11A12-11A12
CG43922	CG43922	2L	""
CG43923	CG43923	2L	""
CG43924	CG43924	2L	""
CG43925	CG43925	2L	""
CG4393	CG4393	3R	94F1-94F1
CG43931	CG43931	3L	""
CG43934	Hr4	X	2C1-2C1
CG43935	CG43935	3R	""
CG43938	CG43938	3L	""
CG4394	Traf-like	X	14C4-14C4
CG43946	Glut1	3L	61E1-61E1
CG43947	PsGEF	X	3A2-3A2
CG4395	hec	X	11D4-11D5
CG43954	CG43954	3L	""
CG43955	Fife	3L	62E9-62F1
CG4396	fne	X	11D4-11D4
CG43965	CG43965	3L	""
CG43968	CG43968	3L	""
CG43976	RhoGEF3	3L	61B3-61B3
CG4398	jtb	2R	53C4-53C4
CG43980	CG43980	3L	78E2-78E2
CG43982	CG43982	2R	""
CG4399	east	X	2C2-2C4
CG43993	CG43993	3L	""
CG43996	CG43996	X	""
CG43997	CG43997	X	""
CG43998	CG43998	3R	""
CG43999	CG43999	3R	""
CG4400	Brms1	X	11D1-11D1
CG44000	CG44000	2L	""
CG44001	CG44001	2L	""
CG44002	CG44002	2L	""
CG44004	CG44004	3L	""
CG44005	CG44005	3L	""
CG44006	CG44006	3L	""
CG44007	Pde1c	2L	33A8-33A8
CG44008	CG44008	2L	""
CG44009	Vti1b	3R	""
CG44010	koko	3R	91A5-91A6
CG44011	Rgk1	2R	56C11-56D1
CG44012	btsz	3R	88D4-88D5
CG44013	CG44013	3R	""
CG44014	CG44014	3R	""
CG44015	Hph	3R	82F7-82F8
CG4402	Loxl2	2R	58A1-58A1
CG44025	pre-lola-G	2R	""
CG44037	CG44037	3R	""
CG44038	CG44038	3R	""
CG4404	CG4404	X	11D1-11D1
CG44040	CG44040	3R	""
CG44044	CG44044	3R	""
CG4405	jp	2L	30B10-30B12
CG4406	PIG-K	X	2C1-2C1
CG4407	CG4407	X	11D1-11D1
CG4408	CG4408	3R	94E13-94F1
CG44085	CG44085	2L	34B3-34B4
CG44086	RapGAP1	2L	28B1-28B1
CG44088	CG44088	3R	""
CG4409	CG4409	2R	53C4-53C4
CG44090	CG44090	3R	""
CG44094	CG44094	3R	""
CG44098	CG44098	3R	82D4-82D4
CG44099	pHCl-1	3L	72A2-72A2
CG44102	CG44102	2R	""
CG4412	ATPsynCF6	3R	94E13-94E13
CG44122	Piezo	2L	28F1-28F1
CG44123	fd3F	X	3F2-3F2
CG44128	Src42A	2R	42A6-42A7
CG4413	trem	3R	92C1-92C1
CG44139	CG44139	2L	""
CG4414	Ugt317A1	2R	58F3-58F3
CG44140	CG44140	2L	""
CG44141	CG44141	2L	""
CG44142	CG44142	3R	""
CG4415	CG4415	2L	21E3-21E3
CG44152	ppk18	2L	30C7-30C8
CG44153	CG44153	2L	31A2-31A2
CG44154	koi	2R	42D4-42D4
CG44158	CG44158	3R	""
CG44159	Irk1	3R	94E3-94E3
CG44162	Strn-Mlck	2R	52D9-52D9
CG44163	CG44163	2R	""
CG44167	St3	2R	59F6-59F6
CG44174	CG44174	3R	""
CG44193	Cdep	3R	82E2-82E3
CG44194	CG44194	3R	""
CG44195	CG44195	3L	""
CG44198	CG44198	2L	""
CG4420	rngo	X	14C6-14C6
CG4421	GstD8	3R	87B8-87B8
CG44215	CG44215	3R	""
CG4422	Gdi	2L	30B5-30B5
CG44227	CG44227	3R	""
CG4423	GstD6	3R	87B8-87B8
CG44239	PIG-V	2R	""
CG4424	CG4424	3R	92C1-92C1
CG44240	Trpm	2R	""
CG44242	CG44242	2R	""
CG44243	CG44243	2R	""
CG44244	Gyg	2R	57D1-57D1
CG44245	CG44245	2R	""
CG44246	Atf-2	2R	60E4-60E5
CG44247	CG44247	2R	""
CG44248	Snp	2R	58B1-58B1
CG44249	CG44249	2R	""
CG44250	CG44250	2R	""
CG44251	CG44251	2R	""
CG44252	Fatp2	2R	""
CG44253	CG44253	2R	""
CG44254	sud1	3R	""
CG44255	PIG-S	3R	""
CG44257	CG44257	3R	""
CG44259	CG44259	3R	""
CG4426	ast	2L	21E4-21E4
CG44261	CG44261	3R	""
CG4427	cbt	2L	21D1-21D1
CG44270	CG44270	2L	""
CG44271	CG44271	2L	""
CG4428	Atg4a	2L	21E4-21E4
CG44286	CG44286	2R	""
CG4429	eIF4H1	X	14C6-14C8
CG44290	CG44290	3R	""
CG44296	COX7CL	2R	""
CG44303	CG44303	X	""
CG44314	CG44314	2R	""
CG4432	PGRP-LC	3L	67B1-67B1
CG44325	CG44325	X	8C4-8C4
CG44328	Neto	X	11F7-12A2
CG44329	CG44329	X	""
CG4433	PIG-L	3R	92C1-92C1
CG44335	CG44335	3R	""
CG4434	bb8	3R	94E9-94E9
CG44341	CG44341	2R	""
CG4435	FucTB	2L	30B3-30B3
CG44355	CG44355	3L	""
CG44362	CG44362	3L	""
CG4437	PGRP-LF	3L	67B1-67B1
CG4438	CG4438	2L	30B1-30B1
CG44385	CG44385	X	""
CG44388	CG44388	2R	""
CG4439	S-Lap8	2R	53C6-53C6
CG4440	CG4440	2L	35F1-35F1
CG44402	yin	X	3F3-3F4
CG44403	CG44403	2R	""
CG44404	IBIN	2R	""
CG44405	CG44405	2L	""
CG44406	CG44406	2L	""
CG44422	CG44422	X	10B1-10B1
CG44424	rad	X	11D8-11D8
CG44425	Bx	X	17C1-17C1
CG44426	CG44426	X	""
CG44428	CG44428	X	""
CG4443	Ubc7	X	14F1-14F1
CG44433	CG44433	2R	""
CG44434	CG44434	2R	""
CG44435	CG44435	2R	""
CG44436	sno	X	11E3-11E3
CG44437	CG44437	X	""
CG44438	CG44438	2R	""
CG44439	CG44439	2R	""
CG4444	px	2R	58E4-58E8
CG4445	Pgant3	2R	42E7-42E7
CG4447	mRRF1	3L	67B2-67B2
CG44475	CG44475	2L	""
CG44476	CG44476	2L	""
CG44477	CG44477	2L	""
CG4448	wda	3R	94E9-94E9
CG4449	Rad60	3R	94E8-94E9
CG4451	Hs6st	3R	92B9-92C1
CG4452	CG4452	3L	67B2-67B2
CG44521	CG44521	3L	""
CG4453	Nup153	X	14F2-14F2
CG44532	CG44532	X	""
CG44533	Nna1	X	12B4-12B4
CG4454	borr	2L	30A6-30A6
CG4455	CG4455	2L	35F12-35F12
CG4456	CG4456	3L	67B2-67B2
CG44569	CG44569	2R	""
CG4457	Srp19	3L	65F5-65F5
CG44574	CG44574	2L	""
CG4459	CG4459	3R	92B8-92B8
CG4460	Hsp22	3L	67B2-67B2
CG4461	CG4461	3L	67B2-67B2
CG4462	CG4462	3R	92B7-92B8
CG44622	CG44622	2R	""
CG44623	CG44623	2R	""
CG44624	CG44624	2R	""
CG44625	CG44625	2R	""
CG4463	Hsp23	3L	67B3-67B3
CG4464	RpS19a	X	14F4-14F4
CG4465	CG4465	3R	92B6-92B6
CG4466	Hsp27	3L	67B3-67B3
CG44666	CG44666	2R	""
CG4467	CG4467	3R	94E7-94E8
CG4468	Xport-A	3R	92B6-92B6
CG4471	Tsp42Ep	2R	42E7-42E7
CG4472	Idgf1	2L	36A1-36A1
CG44746	rdgC	3L	77A4-77A4
CG4475	Idgf2	2L	36A1-36A1
CG4476	CG4476	3L	67A3-67A3
CG4477	CG4477	3L	67A4-67A4
CG44774	CG44774	X	4D6-4D7
CG4478	ProtB	2L	35B7-35B7
CG4479	ProtA	2L	35B6-35B6
CG4480	CG4480	2L	35B6-35B6
CG44812	CG44812	2R	""
CG44815	CG44815	X	""
CG4482	mol	2L	35B7-35B8
CG4483	CG4483	3L	67A4-67A4
CG44835	rg	X	4F2-4F2
CG44836	CG44836	3L	72E5-72E5
CG44837	CG44837	3L	68E3-68E3
CG44838	CG44838	3L	67B9-67B9
CG4484	Slc45-1	3L	67A3-67A3
CG4485	Cyp9b1	2R	42F2-42F2
CG4486	Cyp9b2	2R	42F2-42F2
CG44869	CG44869	2L	""
CG44876	pre-mod(mdg4)-C	3R	""
CG44877	pre-mod(mdg4)-AB	3R	""
CG44878	pre-mod(mdg4)-E	3R	""
CG44879	pre-mod(mdg4)-K	3R	""
CG4488	Wee1	2L	27C4-27C4
CG44880	pre-mod(mdg4)-L	3R	""
CG44881	pre-mod(mdg4)-P	3R	""
CG44882	pre-mod(mdg4)-J	3R	""
CG44883	pre-mod(mdg4)-I	3R	""
CG44884	pre-mod(mdg4)-B	3R	""
CG44890	Tgs1	3R	90F11-90F11
CG4491	noc	2L	35B2-35B2
CG4494	Sumo	2L	27C7-27C7
CG4495	MICU1	2L	27E4-27E4
CG44954	CG44954	3R	""
CG44956	CG44956	3R	""
CG4496	CG4496	2L	27E4-27E4
CG4497	CG4497	2L	27E4-27E4
CG4500	hll	2L	34F1-34F1
CG45002	CG45002	X	15D1-15D1
CG4501	bgm	2L	34F1-34F1
CG45011	CG45011	2L	""
CG45012	CG45012	2L	""
CG45017	IP3K2	X	11E9-11E9
CG45019	Pde8	2R	59F5-59F6
CG4502	CG4502	2L	27E4-27E4
CG45045	CG45045	3R	""
CG45049	CG45049	3R	94C4-94C4
CG45050	CG45050	3R	85D11-85D11
CG45051	sima	3R	99D4-99D4
CG45057	ringer	3L	72E2-72E2
CG45058	wake	3R	94B10-94B10
CG45060	CG45060	X	""
CG45061	CG45061	X	""
CG45062	CG45062	2R	""
CG45063	CG45063	2R	""
CG45064	CG45064	X	""
CG45065	CG45065	X	""
CG45066	CG45066	3L	""
CG45067	CG45067	3L	""
CG45068	PIG-Z	2R	""
CG45069	CG45069	2R	""
CG45070	CTPsyn	3L	71B4-71B5
CG45071	CG45071	3L	""
CG45072	CG45072	3R	""
CG45073	CG45073	3R	""
CG45074	Kr-h1	2L	26B5-26B5
CG45075	CG45075	2L	""
CG45076	CG45076	3R	""
CG45077	fau	3R	86C6-86C6
CG45078	CG45078	3R	""
CG45079	CG45079	3R	""
CG45080	CG45080	3R	""
CG45081	CG45081	3L	""
CG45084	CG45084	2L	""
CG45085	CG45085	2R	""
CG45086	CG45086	2R	""
CG45087	CG45087	2R	""
CG45088	CG45088	2R	""
CG45089	CG45089	X	""
CG45090	SclA	2L	""
CG45091	SclB	2L	""
CG45092	CG45092	2R	""
CG45095	CG45095	3R	""
CG45099	CG45099	3R	""
CG4510	Surf6	3R	92B6-92B6
CG45100	CG45100	3R	""
CG45101	CG45101	3L	""
CG45105	CG45105	3R	89A8-89A8
CG4511	CG4511	3R	86C7-86C7
CG45110	tau	3R	98A13-98A14
CG45116	CG45116	3L	""
CG45122	CG45122	3R	""
CG45154	CG45154	X	""
CG45186	Svil	3L	62E1-62E2
CG4520	CG4520	3R	89A3-89A3
CG45207	CG45207	3R	""
CG4521	mthl1	X	14F4-14F5
CG45218	CG45218	3R	""
CG4523	Pink1	X	6C6-6C6
CG4525	Ttc26	3R	89A4-89A4
CG45263	CG45263	3R	84F16-85A1
CG4527	Slik	2R	60C7-60C8
CG45273	CG45273	2R	""
CG4528	snf	X	4F4-4F4
CG45307	CG45307	2L	""
CG4531	aos	3L	73A2-73A2
CG4532	pod1	X	6D2-6D3
CG4533	l(2)efl	2R	59F6-59F6
CG4535	Fkbp59	2L	30E1-30E1
CG4536	iav	X	6D3-6D3
CG4537	CG4537	2L	30E1-30E1
CG4538	ClpX	3R	92B6-92B6
CG4539	Bka	2L	30E1-30E1
CG45413	CG45413	3L	""
CG4542	xit	X	6D3-6D3
CG45428	CG45428	3L	""
CG4545	SerT	2R	60C8-60C8
CG4546	CG4546	3R	89A5-89A5
CG4547	Atx-1	X	6D3-6D3
CG45477	mamo	X	12C7-12C7
CG4548	XNP	3R	96E1-96E2
CG45486	CG45486	X	""
CG45487	CG45487	X	""
CG45488	CG45488	X	""
CG45489	CG45489	X	""
CG45490	CG45490	X	""
CG45491	CG45491	X	""
CG45492	CG45492	X	""
CG45493	CG45493	X	""
CG45494	CG45494	X	""
CG4550	ninaE	3R	92B4-92B4
CG4551	Dyrk2	2L	35A1-35A2
CG4552	TBC1D23	2L	21F1-21F1
CG4553	CG4553	3R	96E1-96E1
CG4554	CG4554	2R	58E3-58E3
CG45544	CG45544	3R	""
CG45545	CG45545	3R	""
CG45546	CG45546	3R	""
CG4557	CG4557	X	6D5-6D6
CG4558	CG4558	X	6D6-6D7
CG4559	Idgf3	2L	36A1-36A1
CG4560	Arpc3A	3R	89A5-89A5
CG45603	CG45603	X	""
CG4561	TyrRS	3L	72F1-72F1
CG4562	CG4562	3R	92B4-92B4
CG4563	CG4563	2R	60D1-60D1
CG4565	CG4565	3R	86C7-86C7
CG4567	mEFG1	2L	27E5-27E5
CG45676	CG45676	3R	""
CG4568	fzo	3R	94E6-94E6
CG4569	Prosalpha4T2	2R	60D1-60D1
CG45690	CG45690	2L	""
CG45691	CG45691	2L	""
CG4570	CG4570	3R	86C7-86C7
CG4572	CG4572	3R	92B3-92B4
CG4573	GluRS-m	3L	72F1-72F1
CG4574	Plc21C	2L	21B8-21C1
CG4576	CG4576	3R	89A5-89A5
CG45760	JYalpha	4	101F1-101F1
CG45763	Mst77Y-4	Y	""
CG45764	CG45764	Y	""
CG45765	CG45765	Y	""
CG45766	CG45766	Y	""
CG45767	Mst77Y-13	Y	""
CG45768	Mst77Y-7	Y	""
CG45769	Mst77Y-9	Y	""
CG4577	CG4577	2L	21F1-21F1
CG45770	CG45770	Y	""
CG45781	DIP-lambda	2R	""
CG45782	lovit	3L	""
CG45783	Pzl	3R	-
CG45784	Myo81F	3R	-
CG45785	kl-3	Y	""
CG45786	kl-5	Y	""
CG45787	PRY	Y	""
CG4579	Nup154	2L	32C1-32C1
CG45799	WDY	Y	-
CG4580	Nepl8	2L	36A2-36A2
CG4581	Mtpbeta	2R	60A5-60A5
CG4582	CG4582	3R	96E4-96E4
CG4583	Ire1	3R	92B3-92B3
CG4584	dUTPase	2L	32C1-32C1
CG4585	Cpes	2R	60A5-60A5
CG4586	CG4586	X	6E4-6E4
CG4587	stol	2L	35D3-35D3
CG4589	Letm1	2R	60D3-60D3
CG4590	Inx2	X	6E4-6E4
CG4591	Tsp86D	3R	86C7-86C7
CG4592	CG4592	2L	30F1-30F1
CG4593	CG4593	X	6E4-6E4
CG45930	CCY	Y	""
CG4594	CG4594	2L	30E4-30F1
CG4596	CG4596	3R	86C7-86C7
CG4597	CG4597	3L	64C6-64C6
CG4598	CG4598	2L	30E4-30E4
CG45986	pre-mod(mdg4)-G	3R	""
CG45987	pre-mod(mdg4)-H	3R	""
CG45988	pre-mod(mdg4)-AA	3R	""
CG45989	pre-mod(mdg4)-O	3R	""
CG4599	Tpr2	2L	36A2-36A2
CG45990	pre-mod(mdg4)-N	3R	""
CG4600	yip2	2L	30E4-30E4
CG4602	Srp54	2L	30E4-30E4
CG46025	CG46025	2L	28C2-28C2
CG46026	CG46026	3R	""
CG4603	CG4603	3L	64C7-64C7
CG4604	GLaz	2R	49F4-49F4
CG46042	CG46042	3R	""
CG4605	Acp32CD	2L	32C1-32C1
CG46059	CG46059	2L	""
CG4606	alpha-Man-IIb	3R	89A5-89A5
CG4607	CG4607	X	6F1-6F3
CG4608	bnl	3R	92B2-92B3
CG4609	fax	3L	72E5-72F1
CG4610	CG4610	2R	58E3-58E4
CG4611	CG4611	3L	64C7-64C7
CG4612	CG4612	2R	60D3-60D4
CG46121	Tmc	3L	67C2-67C2
CG4613	CG4613	3L	70E1-70E1
CG46146	PRAS40	2R	""
CG46149	Fatp1	2L	31F4-31F5
CG4615	CG4615	X	6F5-6F5
CG4616	FLASH	2R	49F8-49F9
CG4617	CG4617	X	6F5-6F5
CG4618	CHMP2B	3L	64C7-64C7
CG4619	CG4619	2L	30F1-30F1
CG46191	CG46191	Y	""
CG46192	CG46192	Y	""
CG46193	CG46193	Y	""
CG4620	unk	3R	94E1-94E2
